"","y","Month","Year","pasta_twitter_lag18","tomato_twitter_lag10","bbq_google10","chili_google15","ketchup_google16","pasta_google15","salsa_google12","spaghetti_google14","tomato_google12"
"28",424319,"4","2012",-0.322210222064607,0.694989493196467,-0.0745658421455956,-0.915746949608812,0.663132307820461,0.970624012973896,-0.39702078002269,0.262874438981843,0.25085479559608
"29",266856,"5","2012",-1.31521225502214,-1.1475817784038,0.121051934726453,-0.587771984383223,0.478966366787921,0.810029858100033,0.409827901958905,0.467041499698894,0.873173631758847
"30",575306,"6","2012",1.65760226743287,0,0.316669711598502,0.396152911293546,0.601743660809614,0.810029858100033,0.678777462619437,0.671208560415944,1.21262026966581
"31",1065234,"7","2012",-1.19698919734206,-0.191750580460711,1.0991408190867,1.7080527721959,0.110634484722844,0.435310163394353,1.57527599815454,1.07954268185004,1.72179022652626
"32",947498,"8","2012",0.217885951225714,-0.266352039812367,1.46592415072179,1.27075281856179,-0.196308750331388,0.328247393478445,2.38212468013614,1.14759836875573,1.9480879851309
"33",791573,"9","2012",-0.362506152105395,0.381082053846644,1.34366304017676,0.778790370723401,0.540355013798768,0.274716008520491,2.11317511947561,0.671208560415944,1.43891802827045
"34",565996,"10","2012",0.145581293053032,0,0.830166375887629,2.03602773742149,0.540355013798768,0.863561243057987,-0.0384213658086476,0.126763065170476,0.137705916293759
"35",318146,"11","2012",-0.407423541731195,0.410147557490146,0.414478600034526,2.30934020844282,0.417577719777075,0.595904318268216,-0.665970340683222,1.21565405566141,-0.371464040566686
"36",388202,"12","2012",-0.184176599187597,0.60081726139152,-0.0745658421455956,-0.205134524953368,0.233411778744536,0.488841548352308,-0.845270047790243,0.807319934227311,-0.484612919869007
"37",265683,"1","2013",-0.12550473841964,0,-0.0256613979275834,-0.697096972791753,0.478966366787921,0.435310163394353,-0.217721072915669,0.671208560415944,0.0245570369914378
"38",288205,"2","2013",0,0,-0.0501136200365895,-0.806421961200282,0.356189072766229,0.595904318268216,-0.217721072915669,0.39898581279321,-0.201740721613204
"39",301246,"3","2013",0.39328578685248,-0.266352039812367,-0.0256613979275834,-0.915746949608812,0.847298248852999,0.64943570322617,-0.39702078002269,0.330930125887527,-0.0320174026597227
"40",385638,"4","2013",0.368426490274083,2.58206731725084,0.169956378944465,-0.915746949608812,0.478966366787921,0.970624012973896,0.051228487744863,0.262874438981843,0.307429235247241
"41",440705,"5","2013",-0.590301610565181,-0.266352039812367,0.438930822143532,-0.697096972791753,0.417577719777075,0.810029858100033,0.589127609065927,0.535097186604577,0.873173631758847
"42",433592,"6","2013",0.631156577475898,-0.242318501487146,0.610096376906575,0.232165428680752,0.356189072766229,0.64943570322617,0.678777462619437,0.807319934227311,1.21262026966581
"43",849076,"7","2013",-0.773741818160194,6.14259151357986,1.53928081704881,1.38007780697032,-0.0735314563096954,0.381778778436399,1.66492585170805,1.07954268185004,1.72179022652626
"44",1505823,"8","2013",-0.468185245670058,0,1.44147192861278,1.54406528958311,-0.0121428092988491,0.328247393478445,2.65107424079667,1.21565405566141,2.17438574373554
